fault_links,fault_count,returncode,output_dir,python_time_sec,cplex_time_sec,lmax_sum,inspection_time_sec,total_time_sec
"1-6,3-5",2,0,batch_output/f_1-6__3-5,2.230,0.990,12906.000,0.064530,3.284
"1-6,3-6",2,0,batch_output/f_1-6__3-6,1.904,1.020,11806.000,0.059030,2.983
"1-6,3-7",2,0,batch_output/f_1-6__3-7,1.449,0.810,5760.000,0.028800,2.288
"1-6,3-8",2,0,batch_output/f_1-6__3-8,1.813,0.980,11806.000,0.059030,2.852
"1-6,4-6",2,0,batch_output/f_1-6__4-6,1.799,1.000,11728.000,0.058640,2.857
"1-6,4-7",2,0,batch_output/f_1-6__4-7,1.624,0.950,7500.000,0.037500,2.611
"1-6,4-8",2,0,batch_output/f_1-6__4-8,1.609,0.950,7500.000,0.037500,2.597
"1-6,4-9",2,0,batch_output/f_1-6__4-9,1.656,0.960,7500.000,0.037500,2.653
"1-6,4-10",2,0,batch_output/f_1-6__4-10,1.882,1.040,11728.000,0.058640,2.981
"1-6,5-6",2,0,batch_output/f_1-6__5-6,1.518,0.830,4724.000,0.023620,2.372
"1-6,5-11",2,0,batch_output/f_1-6__5-11,2.321,0.990,13954.000,0.069770,3.380
"1-6,6-9",2,0,batch_output/f_1-6__6-9,1.493,0.810,4724.000,0.023620,2.327
"1-6,7-8",2,0,batch_output/f_1-6__7-8,1.919,1.010,11806.000,0.059030,2.988
"1-6,7-10",2,0,batch_output/f_1-6__7-10,1.507,0.820,6412.000,0.032060,2.360
"1-6,9-10",2,0,batch_output/f_1-6__9-10,1.486,0.820,6412.000,0.032060,2.338
"1-6,9-11",2,0,batch_output/f_1-6__9-11,1.607,0.930,7500.000,0.037500,2.574
"1-6,10-11",2,0,batch_output/f_1-6__10-11,1.873,1.000,11728.000,0.058640,2.932
"1-7,1-9",2,0,batch_output/f_1-7__1-9,2.168,1.050,15012.000,0.075060,3.293
"1-7,1-11",2,0,batch_output/f_1-7__1-11,0.998,0.210,12822.000,0.064110,1.272
"1-7,2-3",2,0,batch_output/f_1-7__2-3,2.185,1.080,14360.000,0.071800,3.336
"1-7,2-5",2,0,batch_output/f_1-7__2-5,1.630,0.400,17312.000,0.086560,2.116
"1-7,2-8",2,0,batch_output/f_1-7__2-8,1.428,0.390,15276.000,0.076380,1.895
"1-7,3-5",2,0,batch_output/f_1-7__3-5,1.852,0.410,18300.000,0.091500,2.354
"1-7,3-6",2,0,batch_output/f_1-7__3-6,0.852,0.210,8600.000,0.043000,1.105
"1-7,3-7",2,0,batch_output/f_1-7__3-7,2.181,1.040,14360.000,0.071800,3.293
"1-7,3-8",2,0,batch_output/f_1-7__3-8,0.818,0.210,8600.000,0.043000,1.071
"1-7,4-6",2,0,batch_output/f_1-7__4-6,1.092,0.240,12822.000,0.064110,1.396
"1-7,4-7",2,0,batch_output/f_1-7__4-7,1.238,0.380,12894.000,0.064470,1.683
"1-7,4-8",2,0,batch_output/f_1-7__4-8,1.235,0.360,12894.000,0.064470,1.660
"1-7,4-9",2,0,batch_output/f_1-7__4-9,1.258,0.370,12894.000,0.064470,1.692
"1-7,4-10",2,0,batch_output/f_1-7__4-10,1.106,0.250,12822.000,0.064110,1.420
"1-7,5-6",2,0,batch_output/f_1-7__5-6,2.151,1.050,13324.000,0.066620,3.268
"1-7,5-11",2,0,batch_output/f_1-7__5-11,1.857,0.400,19348.000,0.096740,2.354
"1-7,6-9",2,0,batch_output/f_1-7__6-9,2.202,1.060,13324.000,0.066620,3.328
"1-7,7-8",2,0,batch_output/f_1-7__7-8,0.874,0.220,8600.000,0.043000,1.137
"1-7,7-10",2,0,batch_output/f_1-7__7-10,2.200,1.040,15012.000,0.075060,3.315
"1-7,9-10",2,0,batch_output/f_1-7__9-10,2.127,1.020,15012.000,0.075060,3.222
"1-7,9-11",2,0,batch_output/f_1-7__9-11,1.190,0.340,12894.000,0.064470,1.595
"1-7,10-11",2,0,batch_output/f_1-7__10-11,1.084,0.230,12822.000,0.064110,1.378
"1-9,1-11",2,0,batch_output/f_1-9__1-11,2.103,1.010,14934.000,0.074670,3.187
"1-9,2-3",2,0,batch_output/f_1-9__2-3,1.755,0.850,8966.000,0.044830,2.650
"1-9,2-5",2,0,batch_output/f_1-9__2-5,2.371,1.000,15124.000,0.075620,3.446
"1-9,2-8",2,0,batch_output/f_1-9__2-8,2.114,0.980,13088.000,0.065440,3.160
"1-9,3-5",2,0,batch_output/f_1-9__3-5,2.506,1.020,16112.000,0.080560,3.606
"1-9,3-6",2,0,batch_output/f_1-9__3-6,2.140,1.010,15012.000,0.075060,3.225
"1-9,3-7",2,0,batch_output/f_1-9__3-7,1.703,0.830,8966.000,0.044830,2.578
"1-9,3-8",2,0,batch_output/f_1-9__3-8,2.123,1.020,15012.000,0.075060,3.218
"1-9,4-6",2,0,batch_output/f_1-9__4-6,2.143,1.030,14934.000,0.074670,3.248
"1-9,4-7",2,0,batch_output/f_1-9__4-7,1.878,0.950,10706.000,0.053530,2.882
"1-9,4-8",2,0,batch_output/f_1-9__4-8,1.873,0.940,10706.000,0.053530,2.866
"1-9,4-9",2,0,batch_output/f_1-9__4-9,1.862,0.940,10706.000,0.053530,2.855
"1-9,4-10",2,0,batch_output/f_1-9__4-10,2.132,1.000,14934.000,0.074670,3.207
"1-9,5-6",2,0,batch_output/f_1-9__5-6,1.736,0.850,7930.000,0.039650,2.626
"1-9,5-11",2,0,batch_output/f_1-9__5-11,2.489,1.000,17160.000,0.085800,3.575
"1-9,6-9",2,0,batch_output/f_1-9__6-9,1.671,0.830,7930.000,0.039650,2.541
"1-9,7-8",2,0,batch_output/f_1-9__7-8,2.184,1.050,15012.000,0.075060,3.309
"1-9,7-10",2,0,batch_output/f_1-9__7-10,1.508,0.820,6412.000,0.032060,2.360
"1-9,9-10",2,0,batch_output/f_1-9__9-10,1.516,0.820,6412.000,0.032060,2.368
"1-9,9-11",2,0,batch_output/f_1-9__9-11,1.852,0.990,10706.000,0.053530,2.896
"1-9,10-11",2,0,batch_output/f_1-9__10-11,2.115,1.040,14934.000,0.074670,3.230
"1-11,2-3",2,0,batch_output/f_1-11__2-3,2.033,1.000,14282.000,0.071410,3.104
"1-11,2-5",2,0,batch_output/f_1-11__2-5,1.558,0.380,17234.000,0.086170,2.025
"1-11,2-8",2,0,batch_output/f_1-11__2-8,1.352,0.340,15198.000,0.075990,1.768
"1-11,3-5",2,0,batch_output/f_1-11__3-5,1.748,0.380,18222.000,0.091110,2.219
"1-11,3-6",2,0,batch_output/f_1-11__3-6,0.954,0.200,12822.000,0.064110,1.218
"1-11,3-7",2,0,batch_output/f_1-11__3-7,2.003,0.970,14282.000,0.071410,3.045
"1-11,3-8",2,0,batch_output/f_1-11__3-8,1.045,0.220,12822.000,0.064110,1.329
"1-11,4-6",2,0,batch_output/f_1-11__4-6,0.782,0.180,8522.000,0.042610,1.005
"1-11,4-7",2,0,batch_output/f_1-11__4-7,1.164,0.330,12816.000,0.064080,1.558
